SCHOOL_CODE,Pass_Percentage,Result
EE0144,100.00%,Reward
EE0145,50.00%,Attention
EE0146,83.33%,Reward
EE0147,57.14%,Attention
EE0148,50.00%,Attention
EE0149,100.00%,Reward
EE0150,100.00%,Reward
EE0151,100.00%,Reward
EE0152,50.00%,Attention
EE0153,0.00%,Attention
EE0154,83.33%,Reward
EE0155,25.00%,Attention
EE0157,0.00%,Attention
EE0158,100.00%,Reward
EE0159,60.00%,Attention
EE0160,75.00%,Attention
EE0161,100.00%,Reward
EE0162,100.00%,Reward
EE0163,100.00%,Reward
EE0164,100.00%,Reward
EE0165,0.00%,Attention
EE0166,100.00%,Reward
EE0167,25.00%,Attention
EE0168,50.00%,Attention
EE0169,0.00%,Attention
EE0170,77.78%,Normal
EE0171,100.00%,Reward
EE0172,100.00%,Reward
EE0173,100.00%,Reward
EE0174,83.33%,Reward
EE0175,80.00%,Reward
EE0176,100.00%,Reward
EE0177,50.00%,Attention
EE0178,100.00%,Reward
EE0179,100.00%,Reward
EE0180,100.00%,Reward
EE0181,100.00%,Reward
EE0182,66.67%,Attention
EE0184,100.00%,Reward
EE0185,100.00%,Reward
EE0186,0.00%,Attention
EE0187,100.00%,Reward
EE0189,50.00%,Attention
EE0190,80.00%,Reward
EE0191,83.33%,Reward
EE0192,100.00%,Reward
EE0194,100.00%,Reward
EE0195,100.00%,Reward
EE0196,100.00%,Reward
EE0197,50.00%,Attention
EE0198,100.00%,Reward
EE0199,100.00%,Reward
EE0200,100.00%,Reward
EE0202,80.00%,Reward
EE0204,100.00%,Reward
EE0205,77.78%,Normal
EE0206,100.00%,Reward
EE0207,100.00%,Reward
EE0208,100.00%,Reward
EE0209,75.00%,Attention
EE0210,50.00%,Attention
EE0212,100.00%,Reward
EE0213,100.00%,Reward
EE0214,100.00%,Reward
EE0215,100.00%,Reward
EE0216,50.00%,Attention
EE0217,66.67%,Attention
EE0218,50.00%,Attention
EE0219,100.00%,Reward
EE0220,60.00%,Attention
EE0221,100.00%,Reward
EE0222,100.00%,Reward
EE0223,100.00%,Reward
EE0224,100.00%,Reward
EE0225,100.00%,Reward
EE0226,100.00%,Reward
EE0227,83.33%,Reward
EE0228,36.36%,Attention
EE0229,100.00%,Reward
EE0230,83.33%,Reward
EE0231,100.00%,Reward
EE0232,50.00%,Attention
EE0233,100.00%,Reward
EE0234,100.00%,Reward
EE0237,100.00%,Reward
EE0240,75.00%,Attention
EE0241,100.00%,Reward
EE0243,100.00%,Reward
EE0244,100.00%,Reward
EE0246,100.00%,Reward
EE0247,100.00%,Reward
EE0248,100.00%,Reward
EE0249,50.00%,Attention
EE0250,100.00%,Reward
EE0251,71.43%,Attention
EE0252,66.67%,Attention
EE0253,100.00%,Reward
EE0254,100.00%,Reward
EE0255,33.33%,Attention
EE0256,60.00%,Attention
EE0259,0.00%,Attention
EE0260,100.00%,Reward
EE0261,0.00%,Attention
EE0263,50.00%,Attention
EE0264,100.00%,Reward
EE0265,85.71%,Reward
EE0266,100.00%,Reward
EE0267,100.00%,Reward
EE0268,100.00%,Reward
EE0269,100.00%,Reward
EE0272,66.67%,Attention
EE0273,100.00%,Reward
EE0274,100.00%,Reward
EE0276,100.00%,Reward
EE0277,100.00%,Reward
EE0278,100.00%,Reward
EE0279,20.00%,Attention
EE0280,66.67%,Attention
EE0281,100.00%,Reward
EE0283,100.00%,Reward
EE0284,100.00%,Reward
EE0285,100.00%,Reward
EE0286,50.00%,Attention
EE0287,100.00%,Reward
EE0288,100.00%,Reward
EE0289,100.00%,Reward
EE0290,100.00%,Reward
EE0291,100.00%,Reward
EE0292,85.71%,Reward
EE0293,33.33%,Attention
EE0294,100.00%,Reward
EE0295,100.00%,Reward
EE0296,100.00%,Reward
EE0297,100.00%,Reward
EE0298,0.00%,Attention
EE0299,100.00%,Reward
EE0300,100.00%,Reward
EE0301,0.00%,Attention
EE0303,100.00%,Reward
EE0304,100.00%,Reward
EE0305,100.00%,Reward
EE0306,66.67%,Attention
EE0307,100.00%,Reward
EE0308,80.00%,Reward
EE0313,0.00%,Attention
EE0314,100.00%,Reward
EE0317,100.00%,Reward
EE0318,100.00%,Reward
EE0320,100.00%,Reward
EE0321,90.00%,Reward
EE0322,100.00%,Reward
EE0324,100.00%,Reward
EE0325,33.33%,Attention
EE0327,100.00%,Reward
EE0328,100.00%,Reward
EE0329,100.00%,Reward
EE0331,100.00%,Reward
EE0335,100.00%,Reward
EE0337,100.00%,Reward
EE0338,60.00%,Attention
EE0341,100.00%,Reward
EE0342,100.00%,Reward
EE0343,66.67%,Attention
EE0345,50.00%,Attention
EE0346,100.00%,Reward
EE0347,100.00%,Reward
EE0348,0.00%,Attention
EE0349,50.00%,Attention
EE0350,66.67%,Attention
EE0351,100.00%,Reward
EE0352,100.00%,Reward
EE0353,0.00%,Attention
EE0355,100.00%,Reward
EE0357,100.00%,Reward
EE0358,100.00%,Reward
EE0359,50.00%,Attention
EE0361,100.00%,Reward
EE0362,100.00%,Reward
EE0365,80.00%,Reward
EE0366,75.00%,Attention
EE0367,0.00%,Attention
EE0369,100.00%,Reward
EE0370,0.00%,Attention
EE0371,50.00%,Attention
EE0372,66.67%,Attention
EE0373,100.00%,Reward
EE0374,100.00%,Reward
EE0376,100.00%,Reward
EE0377,0.00%,Attention
EE0379,60.00%,Attention
EE0380,100.00%,Reward
EE0382,100.00%,Reward
EE0383,100.00%,Reward
EE0384,100.00%,Reward
EE0385,100.00%,Reward
EE0386,85.71%,Reward
EE0387,100.00%,Reward
EE0392,50.00%,Attention
EE0394,100.00%,Reward
EE0395,100.00%,Reward
EE0396,80.00%,Reward
EE0397,50.00%,Attention
EE0399,50.00%,Attention
EE0400,100.00%,Reward
EE0401,100.00%,Reward
EE0402,100.00%,Reward
